HourGMT,Hour,Abundance,Site
0,1,0,POST
1,2,0,POST
2,3,0,POST
3,4,0,POST
4,5,0,POST
5,6,0,POST
6,7,0.00610432,Chil
7,8,0.524717497,Chil
8,9,2.599170206,Chil
9,10,5.91829454,Chil
10,11,10.27464523,Chil
11,12,16.29055809,Chil
12,13,18.65024804,Chil
13,14,14.89030251,Chil
14,15,12.58247387,Chil
15,16,8.822528333,Chil
16,17,7.007382213,Chil
17,18,2.339863617,Chil
18,19,0,POST
19,20,0,POST
20,21,0,POST
21,22,0,POST
22,23,0,POST
23,0,0,POST
0,1,0,POST
1,2,0,POST
2,3,0,POST
3,4,0,POST
4,5,0,POST
5,6,0,POST
6,7,0,POST
7,8,0.046627675,Mavl
8,9,0.887746721,Mavl
9,10,3.42939837,Mavl
10,11,10.58581314,Mavl
11,12,17.12033917,Mavl
12,13,20.10236494,Mavl
13,14,16.99113296,Mavl
14,15,13.28260166,Mavl
15,16,8.407637791,Mavl
16,17,7.188896825,Mavl
17,18,1.977281474,Mavl
18,19,0,POST
19,20,0,POST
20,21,0,POST
21,22,0,POST
22,23,0,POST
23,0,0,POST
0,1,0,POST
1,2,0,POST
2,3,0,POST
3,4,0,POST
4,5,0,POST
5,6,0,POST
6,7,0,POST
7,8,0.498786838,Roth
8,9,3.714188537,Roth
9,10,6.955520895,Roth
10,11,12.58247387,Roth
11,12,16.83510192,Roth
12,13,19.73847136,Roth
13,14,15.12367844,Roth
14,15,11.15628763,Roth
15,16,7.96636951,Roth
16,17,4.180940397,Roth
17,18,1.250775945,Roth
18,19,0,POST
19,20,0,POST
20,21,0,POST
21,22,0,POST
22,23,0,POST
23,0,0,POST
